dataset,model,mean_metric,split,max_time,best,fit_time,inference_time,num_trials
tic-tac-toe,MLP,0.9982560873031616,4,3600,"{'dropout_rate': 0.3, 'hidden_size': 32, 'learning_rate': 0.0010595192449510194, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.0019123285867258173}",4.997335195541382,0.0004050731658935,314.0
tic-tac-toe,MLP,0.9997392892837524,5,3600,"{'dropout_rate': 0, 'hidden_size': 64, 'learning_rate': 0.0009078592452156362, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.00013723466007609675}",5.519614934921265,0.0005443096160888,284.0
vehicle,MLP,0.9533628225326538,1,3600,"{'dropout_rate': 0, 'hidden_size': 256, 'learning_rate': 0.005098500719561434, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.0033303434060894693}",6.0414369106292725,0.0005478858947753,311.0
vehicle,MLP,0.9639861583709716,2,3600,"{'dropout_rate': 0.3, 'hidden_size': 128, 'learning_rate': 0.006434246066489883, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.00023611771962619277}",4.855994701385498,0.0004181861877441,348.0
vehicle,MLP,0.9479356408119202,3,3600,"{'dropout_rate': 0, 'hidden_size': 128, 'learning_rate': 0.0001675833702593538, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 6.0430439150124945e-05}",6.5201256275177,0.000931978225708,309.0
vehicle,MLP,0.9584469795227052,4,3600,"{'dropout_rate': 0, 'hidden_size': 64, 'learning_rate': 0.0007806622962025664, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 9.921501194045456e-05}",4.957901477813721,0.0004758834838867,291.0
vehicle,MLP,0.9505986571311952,5,3600,"{'dropout_rate': 0.3, 'hidden_size': 128, 'learning_rate': 0.002164958310404105, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 2.0498429322338445e-05}",4.862047910690308,0.000474214553833,329.0
eucalyptus,MLP,0.8990612626075745,1,3600,"{'dropout_rate': 0, 'hidden_size': 128, 'learning_rate': 5.6487458043885295e-05, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 0.00033975925658901644}",5.855600833892822,0.0010559558868408,353.0
eucalyptus,MLP,0.9076765775680542,2,3600,"{'dropout_rate': 0, 'hidden_size': 256, 'learning_rate': 4.1232381432535284e-05, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 0.0005890582708084125}",9.268805742263794,0.0019822120666503,297.0
eucalyptus,MLP,0.9007490873336792,3,3600,"{'dropout_rate': 0, 'hidden_size': 64, 'learning_rate': 7.788877953049824e-05, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 1.638797099300616e-05}",6.823156356811523,0.0008387565612792,380.0
eucalyptus,MLP,0.9033027291297911,4,3600,"{'dropout_rate': 0, 'hidden_size': 32, 'learning_rate': 0.00017931483766802357, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 0.0001902166306827961}",4.9435577392578125,0.0006237030029296,332.0
eucalyptus,MLP,0.8631012439727783,5,3600,"{'dropout_rate': 0, 'hidden_size': 512, 'learning_rate': 0.0002783283446565211, 'n_epochs': 100, 'n_layers': 3, 'weight_decay': 0.000281529283862916}",1.9205381870269775,0.0046730041503906,384.0
analcatdata_authorship,MLP,1.0,1,3600,"{'dropout_rate': 0.3, 'hidden_size': 128, 'learning_rate': 0.000945792409069425, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 0.0018209666070432957}",7.409514665603638,0.001399278640747,313.0
analcatdata_authorship,MLP,0.9998058676719666,2,3600,"{'dropout_rate': 0.3, 'hidden_size': 64, 'learning_rate': 0.0007238145159524887, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.00010486452704359989}",5.385719060897827,0.0006844997406005,309.0
analcatdata_authorship,MLP,0.9998743534088136,3,3600,"{'dropout_rate': 0, 'hidden_size': 128, 'learning_rate': 0.0016948750460435169, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 0.007711839514345476}",0.5675230026245117,0.0007398128509521,296.0
analcatdata_authorship,MLP,1.0,4,3600,"{'dropout_rate': 0, 'hidden_size': 512, 'learning_rate': 0.0005033456813909272, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.0008050759949054694}",14.61199140548706,0.0032856464385986,340.0
analcatdata_authorship,MLP,0.9998098015785216,5,3600,"{'dropout_rate': 0.3, 'hidden_size': 32, 'learning_rate': 0.007290411302674383, 'n_epochs': 100, 'n_layers': 1, 'weight_decay': 3.7734140137235835e-05}",0.4344162940979004,0.0004417896270751,286.0
analcatdata_dmft,MLP,0.5688189268112183,1,3600,"{'dropout_rate': 0.3, 'hidden_size': 128, 'learning_rate': 0.00017997022232623682, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 3.932507760790445e-05}",4.700054407119751,0.0004820823669433,348.0
analcatdata_dmft,MLP,0.5774149298667908,2,3600,"{'dropout_rate': 0, 'hidden_size': 512, 'learning_rate': 2.434398054639321e-05, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 1.1594579796121629e-05}",1.251112937927246,0.0027613639831542,347.0
analcatdata_dmft,MLP,0.5720764398574829,3,3600,"{'dropout_rate': 0.3, 'hidden_size': 128, 'learning_rate': 0.0006903665575796088, 'n_epochs': 100, 'n_layers': 1, 'weight_decay': 0.0005118680571990604}",0.4316353797912597,0.0004737377166748,325.0
analcatdata_dmft,MLP,0.5394925475120544,4,3600,"{'dropout_rate': 0.3, 'hidden_size': 256, 'learning_rate': 6.919609254676067e-05, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.00030878899763723487}",5.028477430343628,0.0005800724029541,346.0
analcatdata_dmft,MLP,0.5720651745796204,5,3600,"{'dropout_rate': 0.1, 'hidden_size': 256, 'learning_rate': 1.591413276735728e-05, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 7.310034584291378e-05}",4.883113145828247,0.0006196498870849,376.0
pc4,MLP,0.8856257200241089,1,3600,"{'dropout_rate': 0.1, 'hidden_size': 256, 'learning_rate': 0.004877429594117694, 'n_epochs': 100, 'n_layers': 1, 'weight_decay': 0.0013753495424440776}",0.9838316440582277,0.0008707046508789,235.0
pc4,MLP,0.9230912327766418,2,3600,"{'dropout_rate': 0, 'hidden_size': 256, 'learning_rate': 0.006337109656152447, 'n_epochs': 100, 'n_layers': 1, 'weight_decay': 0.0006725697495772849}",0.7726573944091797,0.0008652210235595,145.0
pc4,MLP,0.901530146598816,3,3600,"{'dropout_rate': 0.1, 'hidden_size': 128, 'learning_rate': 0.0008529028004997614, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.0005530465484023694}",8.132021188735962,0.0006601810455322,145.0
pc4,MLP,0.9085538387298584,4,3600,"{'dropout_rate': 0.3, 'hidden_size': 128, 'learning_rate': 0.005164421362785722, 'n_epochs': 100, 'n_layers': 1, 'weight_decay': 0.0036495091242565187}",0.8623449802398682,0.0006780624389648,209.0
